Región,Productos seleccionados,Unidad de medida,Período,Precio,Año,Mes,Orden_Periodo
Noroeste,Pan francés,kg,Año 2017 - Julio,33.1,2017,Julio,201707.0
Noroeste,Harina de trigo común,kg,Año 2017 - Julio,10.55,2017,Julio,201707.0
Noroeste,Arroz blanco simple,kg,Año 2017 - Julio,18.63,2017,Julio,201707.0
Noroeste,Fideos secos tipo guisero,500 g,Año 2017 - Julio,13.62,2017,Julio,201707.0
Noroeste,Carne picada común,kg,Año 2017 - Julio,82.23,2017,Julio,201707.0
Noroeste,Pollo entero,kg,Año 2017 - Julio,36.91,2017,Julio,201707.0
Noroeste,Aceite de girasol,"1,5 litros",Año 2017 - Julio,52.13,2017,Julio,201707.0
Noroeste,Leche fresca entera sachet,Litro,Año 2017 - Julio,22.53,2017,Julio,201707.0
Noroeste,Huevos de gallina,Docena,Año 2017 - Julio,30.32,2017,Julio,201707.0
Noroeste,Papa,kg,Año 2017 - Julio,10.82,2017,Julio,201707.0
Noroeste,Azúcar,kg,Año 2017 - Julio,16.53,2017,Julio,201707.0
Noroeste,Detergente líquido,750 cc,Año 2017 - Julio,23.57,2017,Julio,201707.0
Noroeste,Lavandina,1.000 cc,Año 2017 - Julio,14.95,2017,Julio,201707.0
Noroeste,Jabón de tocador,125 g,Año 2017 - Julio,14.73,2017,Julio,201707.0
Cuyo,Pan francés,kg,Año 2017 - Julio,28.34,2017,Julio,201707.0
Cuyo,Harina de trigo común,kg,Año 2017 - Julio,10.28,2017,Julio,201707.0
Cuyo,Arroz blanco simple,kg,Año 2017 - Julio,18.86,2017,Julio,201707.0
Cuyo,Fideos secos tipo guisero,500 g,Año 2017 - Julio,17.92,2017,Julio,201707.0
Cuyo,Carne picada común,kg,Año 2017 - Julio,73.7,2017,Julio,201707.0
Cuyo,Pollo entero,kg,Año 2017 - Julio,36.16,2017,Julio,201707.0
Cuyo,Aceite de girasol,"1,5 litros",Año 2017 - Julio,49.07,2017,Julio,201707.0
Cuyo,Leche fresca entera sachet,Litro,Año 2017 - Julio,23.95,2017,Julio,201707.0
Cuyo,Huevos de gallina,Docena,Año 2017 - Julio,36.04,2017,Julio,201707.0
Cuyo,Papa,kg,Año 2017 - Julio,12.83,2017,Julio,201707.0
Cuyo,Azúcar,kg,Año 2017 - Julio,18.13,2017,Julio,201707.0
Cuyo,Detergente líquido,750 cc,Año 2017 - Julio,22.11,2017,Julio,201707.0
Cuyo,Lavandina,1.000 cc,Año 2017 - Julio,14.61,2017,Julio,201707.0
